FID,OBJECTID,Match_addr,Side,X,Y,Disp_Lon,Disp_Lat,Street_ID,Addr_type,User_fld,ARC_Addres,ARC_City,ARC_State,ARC_Zip,Garden,Address,City_1,State_1,Zip_1,Website,Email,Phone
10,11,"1523 North St, Philadelphia, PA, 19130",R,-75.163128,39.966088,-75.163111,39.96622,65058155,Address, ,1523 North St,Philadelphia,PA,19130,North Street Community Garden,1523 North St,Philadelphia,PA,19130, http://philadelphialandtrust.org, , 
11,12,"809 E Passyunk Ave, Philadelphia, PA, 19147",R,-75.152893,39.938527,-75.152761,39.93847,64657957,Address, ,809 E Passyunk Ave,Philadelphia,PA,19147,NEC Passyunk/6th/Kauffman,809 E Passyunk Ave,Philadelphia,PA,19147, http://philadelphialandtrust.org, , 
12,13,"65 W Penn St, Philadelphia, PA, 19144",L,-75.170537,40.031264,0,0,24762130,StreetAddress,0,65 W Penn St,Philadelphia,PA,19144,Penn Knox Garden,65 W Penn St,Philadelphia,PA,19144, , , 
13,14,"4537 Pulaski Ave, Philadelphia, PA, 19144",R,-75.164259,40.021216,-75.164111,40.02134,63435700,Address, ,4537 Pulaski Ave,Philadelphia,PA,19144,Pulaski/Zeralda Garden,4537 Pulaski Ave,Philadelphia,PA,19144, , , 
14,15,"3229 Race St, Philadelphia, PA, 19104",L,-75.188497,39.958896,0,0,18717284,StreetAddress,0,3229 Race St,Philadelphia,PA,19104,Summer-Winter Garden,3229 Race St,Philadelphia,PA,19104,http://www.ucgreen.org/,summer-winter-community-garden@googlegroups.com, 
15,16,"4708 Spruce St, Philadelphia, PA, 19139",L,-75.216342,39.953334,0,0,18718527,StreetAddress,0,4708 Spruce St,Philadelphia,PA,19143,Garden Court Comm Garden,4708 Spruce St,Philadelphia,PA,19143, ,s.geryk@verizon.net,215-472-3347
16,17,"4731 Warrington Ave, Philadelphia, PA, 19143",L,-75.21702,39.947894,0,0,18719767,StreetAddress,0,4731 Warrington Ave,Philadelphia,PA,19143,Warrington Community Garden,4731 Warrington Ave,Philadelphia,PA,19143,http://www.ucgreen.org/,steve@vortexhouse.org,215-724-8131
17,18,"5148 Wayne Ave, Philadelphia, PA, 19144",L,-75.170816,40.027085,-75.171011,40.02683,64288145,Address, ,5148 Wayne Ave,Philadelphia,PA,19144,Hansberry Garden and Nature Center,5148 Wayne Ave,Philadelphia,PA,19144,http://www.hansberrygarden.com,hansberrygarden1@gmail.com, 
18,19,"1315 S 22nd St, Philadelphia, PA, 19146",R,-75.180678,39.935332,-75.180511,39.93531,64356499,Address, ,1315 S 22nd St,Philadelphia,PA,19146,The Point Breeze Gardens,1315 S 22nd St,Philadelphia,PA,19146, http://philadelphialandtrust.org, , 
19,20,"2149 Ellsworth St, Philadelphia, PA, 19146",R,-75.179909,39.938478,-75.179871,39.93864,64542175,Address, ,2149 Ellsworth St,Philadelphia,PA,19146,S.O.B. Garden; The Point Breeze Gardens,2149 Ellsworth St,Philadelphia,PA,19146, http://philadelphialandtrust.org, , 
20,21,"2527 Jasper St, Philadelphia, PA, 19125",R,-75.127458,39.987165,-75.127381,39.98707,64523313,Address, ,2527 Jasper St,Philadelphia,PA,19125,Rainbow Park,2527 Jasper St,Philadelphia,PA,19125, http://philadelphialandtrust.org, , 
21,22,"436 W Master St, Philadelphia, PA, 19122",L,-75.143961,39.972517,0,0,18713804,StreetAddress,0,436 Master St,Philadelphia,PA,19122,Master Street Garden,436 Master St,Philadelphia,PA,19122, ,info@southkensingtoncommunity.org, 
22,23,"2248 N Palethorp St, Philadelphia, PA, 19133",L,-75.135766,39.984748,-75.135841,39.98477,64159148,Address, ,2248 Palethorp St,Philadelphia,PA,19133,Las Parcelas,2248 Palethorp St,Philadelphia,PA,19133,http://www.myneighborhoodproject.org/site/, , 
23,24,"1510 Grays Ferry Ave, Philadelphia, PA, 19143",R,-75.209021,39.941243,-75.209021,39.94116,64717104,Address, ,1510 Grays Ferry Ave,Philadelphia,PA,19143,Grays Ferry Bridge Garden,1510 Grays Ferry Ave,Philadelphia,PA,19143, http://philadelphialandtrust.org, , 
24,25,"6340 Ardleigh St, Philadelphia, PA, 19138",L,-75.170555,40.055795,0,0,18693242,StreetAddress,0,6340 Ardleigh St,Philadelphia,PA,19138,Awbury Arboretum,6340 Ardleigh St,Philadelphia,PA,19138, , ,215-849-6642
25,26,"2300 E Cumberland St, Philadelphia, PA, 19125",L,-75.123825,39.98093,-75.123961,39.98084,64598976,Address, ,2300 E Cumberland St,Philadelphia,PA,19125,Tulip St Garden,2300 E Cumberland St,Philadelphia,PA,19125, http://philadelphialandtrust.org, , 
26,27,"2124 Fitzwater St, Philadelphia, PA, 19146",L,-75.178205,39.943323,-75.178231,39.94318,65163991,Address, ,2124 Fitzwater St,Philadelphia,PA,19146,2100 Fitzwater Garden,2124 Fitzwater St,Philadelphia,PA,19146, http://philadelphialandtrust.org,kathgarv@aol.com, 
27,28,"1018 Kimball St, Philadelphia, PA, 19147",L,-75.16009,39.937606,0,0,18721690,StreetAddress,0,1018 Kimball St,Philadelphia,PA,19147,Bel Arbor Community Garden,1018 Kimball St,Philadelphia,PA,19147,http://www.belarbor.org, , 
28,29,"941 N 3rd St, Philadelphia, PA, 19123",R,-75.142319,39.965626,0,0,18715678,StreetAddress,0,941 N 3rd St,Philadelphia,PA,19123,Liberty Lands,941 N 3rd St,Philadelphia,PA,19123,http://www.nlna.org/committees/liberty-lands.html, , 
29,30,"4027 Powelton Ave, Philadelphia, PA, 19104",L,-75.203224,39.959119,-75.203251,39.95933,64713501,Address, ,4027 Powelton Ave,Philadelphia,PA,19104,West Powelton Concerned Community Council Garden,4027 Powelton Ave,Philadelphia,PA,19104,http://www.ucgreen.org/, ,215-387-8951
30,31,"1833 Wallace St, Philadelphia, PA, 19130",R,-75.168628,39.966168,-75.168601,39.96633,64286842,Address, ,1833 Wallace St,Philadelphia,PA,19130,The Spring Gardens,1833 Wallace St,Philadelphia,PA,19130,http://www.thespringgardens.org/home.html, , 
31,32,"246 Monastery Ave, Philadelphia, PA, 19128",L,-75.219028,40.028544,0,0,18701794,StreetAddress,0,246 Monastery Ave,Philadelphia,PA,19128,Garden RUN,246 Monastery Ave,Philadelphia,PA,19128, ,info@crca.us, 
32,33,"2042 Fitzwater St, Philadelphia, PA, 19146",L,-75.176935,39.943164,-75.176981,39.94303,64769168,Address, ,2042 Fitzwater St,Philadelphia,PA,19146,Fitzwater 2000,2042 Fitzwater St,Philadelphia,PA,19146,http://fitzwater2000.org, , 
33,34,"1936 N Marshall St, Philadelphia, PA, 19122",L,-75.145386,39.981097,-75.145561,39.98112,63319380,Address, ,1936 N Marshall St,Philadelphia,PA,19122,Marshall Street Garden,1936 N Marshall St,Philadelphia,PA,19122, http://philadelphialandtrust.org, , 
34,35,"704 S 19th St, Philadelphia, PA, 19146",L,-75.173746,39.943568,-75.173931,39.94361,64329593,Address, ,704 S 19th St,Philadelphia,PA,19146,Pemberton Garden,704 S 19th St,Philadelphia,PA,19146, http://philadelphialandtrust.org, , 
35,36,"4929 Pentridge St, Philadelphia, PA, 19143",L,-75.221828,39.947225,-75.221921,39.94734,63387782,Address, ,4929 Pentridge St,Philadelphia,PA,19143,Pentridge Children's Garden,4929 Pentridge St,Philadelphia,PA,19143,http://thepentridgechildrensgarden.blogspot.com/, , 
36,37,"5700 Willows Ave, Philadelphia, PA, 19143",R,-75.232515,39.941056,-75.232371,39.9409,65158090,Address, ,5700 Willows Ave,Philadelphia,PA,19143,Longstreth School Garden,5700 Willows Ave,Philadelphia,PA,19143, , ,215-727-2158
37,38,"837 South St, Philadelphia, PA, 19147",R,-75.156562,39.942609,0,0,18720502,StreetAddress,0,837 South St,Philadelphia,PA,19147,South Street Garden,837 South St,Philadelphia,PA,19147,http://www.washwestcivic.org/,info@washwestcivic.org, 
38,39,"320 N 41st St, Philadelphia, PA, 19104",L,-75.205288,39.959517,-75.205481,39.9595,63094001,Address, ,320 N 41st St,Philadelphia,PA,19104,Holly Street Community Garden,320 N 41st St,Philadelphia,PA,19104,http://www.ucgreen.org/,winnieharris2003@yahoo.com,215-382-0579
39,40,"4905 Brown St, Philadelphia, PA, 19139",L,-75.218602,39.966163,0,0,18715879,StreetAddress,0,4905 Brown St,Philadelphia,PA,19139,Mill Creek Farm,4905 Brown St,Philadelphia,PA,19139,http://www.millcreekurbanfarm.org/, , 
40,41,"2499 Manning St, Philadelphia, PA, 19103",R,-75.181023,39.949425,0,0,18719174,StreetAddress,0,2499 Manning St,Philadelphia,PA,19103,Schuylkill River Park & Community Garden,2499 Manning St,Philadelphia,PA,19103,http://www.srpcg.org/,centercity@centercityresidents.org, 
41,42,"3228 W Montgomery Ave, Philadelphia, PA, 19121",L,-75.187306,39.983993,-75.187341,39.98383,75634593,Address, ,3228 W Montgomery Ave,Philadelphia,PA,19121,East Park Revitalization Alliance Cowboy Garden,3228 W Montgomery Ave,Philadelphia,PA,19121,http://www.epralliance.org/, , 
42,43,"5700 Wayne Ave, Philadelphia, PA, 19144",L,-75.178964,40.031722,0,0,18700266,StreetAddress,0,5700 Wayne Ave,Philadelphia,PA,19144,Mastery Charter School & Community Garden,5700 Wayne Ave,Philadelphia,PA,19144, ,mpc.garden@gmail.com, 
43,44,"2229 N Broad St, Philadelphia, PA, 19132",R,-75.155987,39.987133,-75.155551,39.98707,64627424,Address, ,2229 N Broad St,Philadelphia,PA,19132,African American United Fund Garden,2229 N Broad St,Philadelphia,PA,19132,http://aaufpa.blogspot.com/, , 
44,45,"8238 Ridge Ave, Philadelphia, PA, 19128",L,-75.237625,40.058927,0,0,125427337,StreetAddress,0,8238 Ridge Ave,Philadelphia,PA,19128,Roxborough Presbyterian Community Garden,8238 Ridge Ave,Philadelphia,PA,19128,http://rpcg.rpcnet.org/,gardener@rpcnet.org,215-483-2762
45,46,"2308 Emerald St, Philadelphia, PA, 19125",L,-75.131156,39.983856,-75.131261,39.98397,63842317,Address, ,2308 Emerald St,Philadelphia,PA,19125,Emerald Street Farm,2308 Emerald St,Philadelphia,PA,19125,http://esuf.org/,esufproject@gmail.com, 
46,47,"839 N Preston St, Philadelphia, PA, 19104",R,-75.204366,39.968657,-75.204111,39.96869,62712641,Address, ,839 N Preston St,Philadelphia,PA,19104,Preston's Paradise,839 N Preston St,Philadelphia,PA,19104,http://prestonsparadise.wordpress.com/, , 
47,48,"132 W Apsley St, Philadelphia, PA, 19144",R,-75.162165,40.023626,-75.161971,40.02344,63621460,Address, ,132 Apsley St,Philadelphia,PA,19144,Tippi & Tula's Garden,132 Apsley St,Philadelphia,PA,19144, ,njdroush@aol.com, 
48,49,"3900 Woodland Ave, Philadelphia, PA, 19104",R,-75.201167,39.949778,0,0,18719157,StreetAddress,0,3900 Woodland Ave,Philadelphia,PA,19104,Woodlands Cemetery Garden,3900 Woodland Ave,Philadelphia,PA,19104,http://www.woodlandscommunitygarden.wordpress.com,phillyrooted@gmail.com, 
49,50,"531 S 41st St, Philadelphia, PA, 19104",R,-75.205646,39.948662,-75.205321,39.94867,64480023,Address, ,531 S 41st St,Philadelphia,PA,19104,Martin Community Garden,531 S 41st St,Philadelphia,PA,19104, ,openn@earthlink.net,215-386-3905
50,51,"3901 Locust Walk, Philadelphia, PA, 19104",R,-75.200476,39.952749,0,0,821553383,StreetAddress,0,3901 Locust Walk,Philadelphia,PA,19104,Penn Garden,3901 Locust Walk,Philadelphia,PA,19104,http://thepenngarden.wordpress.com,penngarden@gmail.com, 
51,52,"214 S 49th St, Philadelphia, PA, 19139",L,-75.219737,39.955677,-75.219971,39.95572,64479615,Address, ,214 S 49th St,Philadelphia,PA,19139,49th & Chancellor,214 S 49th St,Philadelphia,PA,19139, , , 
52,53,"4799 Umbria St, Philadelphia, PA, 19127",R,-75.232367,40.032462,0,0,18853858,StreetAddress,0,4799 Umbria St,Philadelphia,PA,19127,Fountain Steps,4799 Umbria St,Philadelphia,PA,19127,http://www.ivyridgegreen.org/category/fountain-street-steps, , 
53,54,"846 N Stillman St, Philadelphia, PA, 19130",L,-75.178416,39.971189,-75.178521,39.9712,62996303,Address, ,846 N Stillman St,Philadelphia,PA,19130,Stillman St Garden,846 N Stillman St,Philadelphia,PA,19130, http://philadelphialandtrust.org, , 
54,55,"1835 S Hicks St, Philadelphia, PA, 19145",R,-75.171237,39.927563,-75.171141,39.92755,64281555,Address, ,1835 S Hicks St,Philadelphia,PA,19145,Hicks St Memory Garden,1835 S Hicks St,Philadelphia,PA,19145,http://hicksstreetgarden.blogspot.com/, , 
55,56,"4615 Ludlow St, Philadelphia, PA, 19139",R,-75.213688,39.957828,-75.213651,39.95801,64738941,Address, ,4615 Ludlow St,Philadelphia,PA,19139,Walnut Hill,4615 Ludlow St,Philadelphia,PA,19139, ,beets@theenterprisecenter.com,215-895-4050
56,57,"1008 S Saint Bernard St, Philadelphia, PA, 19143",L,-75.218062,39.944309,-75.218221,39.94419,164144925,Address, ,1008 S Saint Bernard St,Philadelphia,PA,19143,St Bernard Orchard,1008 S Saint Bernard St,Philadelphia,PA,19143,http://www.ucgreen.org/,marlenegoeke@gmail.com,215-724-1247
57,58,"939 S 3rd St, Philadelphia, PA, 19147",R,-75.148877,39.935433,-75.148641,39.93537,63618818,Address, ,939 S 3rd St,Philadelphia,PA,19147,Bodine St Garden,939 S 3rd St,Philadelphia,PA,19147,http://bodinestreetgarden.org,info@bodinestreetgarden.org,215-868-3865
58,59,"5200 N Broad St, Philadelphia, PA, 19141",L,-75.146146,40.032608,-75.146611,40.03268,64918943,Address, ,5200 N Broad St,Philadelphia,PA,19141,Nationalities Service Center North,5200 N Broad St,Philadelphia,PA,19141, , , 
59,60,"1925 W Girard Ave, Philadelphia, PA, 19130",R,-75.167819,39.972605,0,0,18713922,StreetAddress,0,1925 W Girard Ave,Philadelphia,PA,19130,Girard Garden at the Berean Institute,1925 W Girard Ave,Philadelphia,PA,19130,http://www.girardgarden.com, , 
60,61,"1529 S 22nd St, Philadelphia, PA, 19146",R,-75.181298,39.932533,-75.181121,39.9325,64450946,Address, ,1529 S 22nd St,Philadelphia,PA,19146,Diversified Community Services Garden,1529 S 22nd St,Philadelphia,PA,19146, , , 
